Date,FF,1Y,2Y,5Y,10Y,20Y
Nov-88,8.35,8.48,8.67,8.79,8.96,8.99
Dec-88,8.76,8.99,9.09,9.09,9.11,9.06
Jan-89,9.12,9.05,9.18,9.15,9.09,9.01
Feb-89,9.36,9.25,9.37,9.27,9.17,9.09
Mar-89,9.85,9.57,9.68,9.51,9.36,9.265
Apr-89,9.84,9.36,9.45,9.3,9.18,9.105
May-89,9.81,8.98,9.02,8.91,8.86,8.845
Jun-89,9.53,8.44,8.41,8.29,8.28,8.275
Jul-89,9.24,7.89,7.82,7.83,8.02,8.05
Aug-89,8.99,8.18,8.14,8.09,8.11,8.115
Sep-89,9.02,8.22,8.28,8.17,8.19,8.17
Oct-89,8.84,7.99,7.98,7.97,8.01,8.005
Nov-89,8.55,7.77,7.8,7.81,7.87,7.885
Dec-89,8.45,7.72,7.78,7.75,7.84,7.87
Jan-90,8.23,7.92,8.09,8.12,8.21,8.235
Feb-90,8.24,8.11,8.37,8.42,8.47,8.485
Mar-90,8.28,8.35,8.63,8.6,8.59,8.575
Apr-90,8.26,8.4,8.72,8.77,8.79,8.775
May-90,8.18,8.32,8.64,8.74,8.76,8.745
Jun-90,8.29,8.1,8.35,8.43,8.48,8.47
Jul-90,8.15,7.94,8.16,8.33,8.47,8.485
Aug-90,8.13,7.78,8.06,8.44,8.75,8.805
Sep-90,8.2,7.76,8.08,8.51,8.89,8.96
Oct-90,8.11,7.55,7.88,8.33,8.72,8.79
Nov-90,7.81,7.31,7.6,8.02,8.39,8.465
Dec-90,7.31,7.05,7.31,7.73,8.08,8.16
Jan-91,6.91,6.64,7.13,7.7,8.09,8.18
Feb-91,6.25,6.27,6.87,7.47,7.85,7.94
Mar-91,6.12,6.4,7.1,7.77,8.11,8.2
Apr-91,5.91,6.24,6.95,7.7,8.04,8.125
May-91,5.78,6.13,6.78,7.7,8.07,8.17
Jun-91,5.9,6.36,6.96,7.94,8.28,8.375
Jul-91,5.82,6.31,6.92,7.91,8.27,8.36
Aug-91,5.66,5.78,6.43,7.43,7.9,8.02
Sep-91,5.45,5.57,6.18,7.14,7.65,7.8
Oct-91,5.21,5.33,5.91,6.87,7.53,7.73
Nov-91,4.81,4.89,5.56,6.62,7.42,7.67
Dec-91,4.43,4.38,5.03,6.19,7.09,7.395
Jan-92,4.03,4.15,4.96,6.24,7.03,7.305
Feb-92,4.06,4.29,5.21,6.58,7.34,7.595
Mar-92,3.98,4.63,5.69,6.95,7.54,7.755
Apr-92,3.73,4.3,5.34,6.78,7.48,7.72
May-92,3.82,4.19,5.23,6.69,7.39,7.64
Jun-92,3.76,4.17,5.05,6.48,7.26,7.55
Jul-92,3.25,3.6,4.36,5.84,6.84,7.22
Aug-92,3.3,3.47,4.19,5.6,6.59,6.99
Sep-92,3.22,3.18,3.89,5.38,6.42,6.88
Oct-92,3.1,3.3,4.08,5.6,6.59,7.06
Nov-92,3.09,3.68,4.58,6.04,6.87,7.24
Dec-92,2.92,3.71,4.67,6.08,6.77,7.105
Jan-93,3.02,3.5,4.39,5.83,6.6,6.97
Feb-93,3.03,3.39,4.1,5.43,6.26,6.675
Mar-93,3.07,3.33,3.95,5.19,5.98,6.4
Apr-93,2.96,3.24,3.84,5.13,5.97,6.41
May-93,3,3.36,3.98,5.2,6.04,6.48
Jun-93,3.04,3.54,4.16,5.22,5.96,6.385
Jul-93,3.06,3.47,4.07,5.09,5.81,6.22
Aug-93,3.03,3.44,4,5.03,5.68,6
Sep-93,3.09,3.36,3.85,4.73,5.36,5.68
Oct-93,2.99,3.39,3.87,4.71,5.33,6.07
Nov-93,3.02,3.58,4.16,5.06,5.72,6.38
Dec-93,2.96,3.61,4.21,5.15,5.77,6.4
Jan-94,3.05,3.54,4.14,5.09,5.75,6.39
Feb-94,3.25,3.87,4.47,5.4,5.97,6.57
Mar-94,3.34,4.32,5,5.94,6.48,7
Apr-94,3.56,4.82,5.55,6.52,6.97,7.4
May-94,4.01,5.31,5.97,6.78,7.18,7.54
Jun-94,4.25,5.27,5.93,6.7,7.1,7.51
Jul-94,4.26,5.48,6.13,6.91,7.3,7.67
Aug-94,4.47,5.56,6.18,6.88,7.24,7.62
Sep-94,4.73,5.76,6.39,7.08,7.46,7.87
Oct-94,4.76,6.11,6.73,7.4,7.74,8.08
Nov-94,5.29,6.54,7.15,7.72,7.96,8.2
Dec-94,5.45,7.14,7.59,7.78,7.81,7.99
Jan-95,5.53,7.05,7.51,7.76,7.78,7.97
Feb-95,5.92,6.7,7.11,7.37,7.47,7.73
Mar-95,5.98,6.43,6.78,7.05,7.2,7.57
Apr-95,6.05,6.27,6.57,6.86,7.06,7.45
May-95,6.01,6,6.17,6.41,6.63,7.01
Jun-95,6,5.64,5.72,5.93,6.17,6.59
Jul-95,5.85,5.59,5.78,6.01,6.28,6.74
Aug-95,5.74,5.75,5.98,6.24,6.49,6.92
Sep-95,5.8,5.62,5.81,6,6.2,6.65
Oct-95,5.76,5.59,5.7,5.86,6.04,6.45
Nov-95,5.8,5.43,5.48,5.69,5.93,6.33
Dec-95,5.6,5.31,5.32,5.51,5.71,6.12
Jan-96,5.56,5.09,5.11,5.36,5.65,6.11
Feb-96,5.22,4.94,5.03,5.38,5.81,6.3
Mar-96,5.31,5.34,5.66,5.97,6.27,6.74
Apr-96,5.22,5.54,5.96,6.3,6.51,6.98
May-96,5.24,5.64,6.1,6.48,6.74,7.11
Jun-96,5.27,5.81,6.3,6.69,6.91,7.22
Jul-96,5.4,5.85,6.27,6.64,6.87,7.14
Aug-96,5.22,5.67,6.03,6.39,6.64,6.97
