,R_PCE,R_DPI,SR,HUS,IPI_M,CUR_M,ISM_M,MIC_I,MIC_E,T_PCEIX,C_PCEIX,C_CPI,C_CPI_INF,NFE,UR,MB,M2,R_EFCR,SP500,SPR_1TNFF,SPR_5TNFF,SPR_10TNFF
1993-11,6552.306514,7242.356,6.3,1376,64.525,80.97,3.8,2.8,81.2,2.35,2.61,153.9,3.081044876,111984,6.6,391960,3470.1,92.40979244,461.79,0.56,2.04,2.7
1993-12,6578.620998,7489.125,9.1,1533,64.929,81.29,5.6,3,88.2,2.19,2.46,153.9,3.150134048,112314,6.5,398638,3474.5,92.57654957,466.45,0.65,2.19,2.81
1994-01,6598.416247,7348.811,7.1,1272,65.043,81.23,6,2.8,94.3,1.98,2.25,154.3,2.935290193,112595,6.6,397786,3474.9,94.15999803,481.61,0.49,2.04,2.7
1994-02,6651.629281,7362.922,6.5,1337,65.138,81.13,6.5,2.8,93.2,2.06,2.27,155,2.785145889,112781,6.6,397926,3475.7,93.83952488,467.14,0.62,2.15,2.72
1994-03,6651.629281,7387.284,6.8,1564,66.016,81.98,6.9,3,91.5,2.13,2.4,155.8,2.906208719,113242,6.5,400752,3480.1,93.88642714,445.77,0.98,2.6,3.14
1994-04,6678.342652,7387.628,6.4,1465,66.598,82.45,7.4,3,92.6,1.98,2.25,155.9,2.768622281,113586,6.4,406948,3481.3,93.93434195,450.91,1.26,2.96,3.41
1994-05,6665.012627,7472.818,7.6,1526,67.066,82.75,8.2,3.1,92.8,1.81,2.14,156,2.834541859,113921,6.1,407088,3490.8,93.30227925,456.5,1.3,2.77,3.17
1994-06,6705.244091,7461.027,6.9,1409,67.284,82.73,8.8,2.7,91.2,2.03,2.26,156.2,2.898550725,114238,6.1,411591,3479.5,92.53120865,444.27,1.02,2.45,2.85
1994-07,6698.545546,7467.203,7,1439,67.599,82.82,8.5,2.9,89,2.19,2.27,156.4,2.894736842,114610,6.1,415010,3488.2,91.2138398,458.26,1.22,2.65,3.04
1994-08,6745.765907,7475.982,6.5,1450,68.11,83.14,8,3.1,91.7,2.25,2.19,157,2.883355177,114896,6,415263,3485.7,91.00380556,475.49,1.09,2.41,2.77
1994-09,6759.284476,7508.559,6.8,1474,68.436,83.22,9,3.4,91.5,2.25,2.19,157.5,3.008502289,115247,5.9,416866,3486.1,89.94770915,462.71,1.03,2.35,2.73
1994-10,6800.084986,7579.93,7.1,1450,69.165,83.78,9.4,3,92.7,2.1,2.26,158,2.931596091,115458,5.8,418679,3484.3,89.05473376,472.35,1.35,2.64,2.98
1994-11,6806.891878,7579.684,7,1511,69.704,84.1,9.2,3.2,91.6,2.11,2.19,158.2,2.794022092,115869,5.6,423063,3487.2,89.32161124,453.69,1.25,2.43,2.67
1994-12,6827.374,7614.247,7.2,1455,70.504,84.73,6.1,3,95.1,2.15,2.18,157.9,2.599090318,116165,5.5,428489,3486.4,91.46983925,459.27,1.69,2.33,2.36
1995-01,6827.374,7638.859,7.5,1407,70.639,84.55,7.4,3,97.6,2.32,2.35,158.7,2.851587816,116501,5.6,426222,3492.4,93.54641846,470.42,1.52,2.23,2.25
1995-02,6813.746507,7654.257,7.8,1316,70.417,83.94,5.1,3,95.1,2.27,2.3,159.6,2.967741935,116697,5.4,422895,3489.9,92.71887059,487.39,0.78,1.45,1.55
1995-03,6847.986439,7675.413,7.5,1249,70.602,83.82,2.1,3.2,90.3,2.17,2.2,160.4,2.952503209,116907,5.4,427727,3491.1,91.592301,500.71,0.45,1.07,1.22
1995-04,6834.317803,7618.752,6.9,1267,70.498,83.34,1.5,3.3,92.5,2.32,2.28,160.7,3.078896729,117069,5.8,433540,3499.2,88.46892599,514.71,0.22,0.81,1.01
1995-05,6882.49527,7695.902,7.1,1314,70.634,83.15,-3.3,3,89.8,2.33,2.23,160.8,3.076923077,117049,5.6,434008,3524.2,87.95836098,533.4,-0.01,0.4,0.62
1995-06,6937.999264,7719.033,6.7,1281,70.978,83.19,-4.1,2.9,92.7,2.18,2.09,160.9,3.008962868,117286,5.6,434846,3548.9,87.88448655,544.75,-0.36,-0.07,0.17
1995-07,6917.247522,7736.328,7.1,1461,70.518,82.28,0.7,2.9,94.4,1.99,2.04,161.1,3.00511509,117380,5.7,435915,3567.4,87.60051744,562.06,-0.26,0.16,0.43
1995-08,6952.00756,7741.587,6.7,1416,71.34,82.86,-2.9,2.9,96.2,1.97,2.17,161.6,2.929936306,117634,5.7,435546,3589,89.47086364,561.88,0.01,0.5,0.75
1995-09,6965.939439,7766.85,6.8,1369,71.996,83.22,-1.9,2.8,88.9,1.93,2.15,162.1,2.920634921,117875,5.6,436332,3602.1,90.36813639,584.41,-0.18,0.2,0.4
1995-10,6938.186692,7775.728,7.1,1369,71.976,82.79,-3.3,2.9,90.2,2.02,2.16,162.8,3.037974684,118031,5.5,436570,3613.4,90.19352947,581.5,-0.17,0.1,0.28
1995-11,6994.13981,7797.137,6.6,1452,72.052,82.46,-4.1,2.8,88.2,1.82,2.04,163,3.034134008,118175,5.6,439093,3619.9,91.19655431,605.37,-0.37,-0.11,0.13
1995-12,7036.357958,7807.781,6.1,1431,72.373,82.4,-3.8,2.7,91,1.95,2.15,162.7,3.03989867,118320,5.6,445840,3629.5,91.66544523,615.93,-0.29,-0.09,0.11
1996-01,7001.351202,7818.498,6.7,1467,71.822,81.33,-4.5,2.8,89.3,1.97,2.01,163.4,2.961562697,118316,5.6,441733,3647.9,92.45936476,636.02,-0.47,-0.2,0.09
1996-02,7057.813712,7878.998,6.7,1491,72.962,82.18,-4.1,2.8,88.5,1.95,1.97,164.2,2.882205514,118739,5.5,435714,3661.8,92.39223265,640.43,-0.28,0.16,0.59
1996-03,7093.280112,7904.494,6.6,1424,72.828,81.57,-3.1,2.9,93.7,2.07,1.96,164.9,2.805486284,118993,5.5,440455,3687,92.21009611,645.5,0.03,0.66,0.96
1996-04,7121.767181,7857.025,5.7,1516,73.672,82.06,-0.7,3,92.7,2.11,1.86,165,2.675793404,119158,5.6,443376,3697.8,92.35630599,654.17,0.32,1.08,1.29
1996-05,7128.896077,7956.529,6.7,1504,74.251,82.24,-0.9,3.1,89.4,2.13,1.86,165.1,2.674129353,119486,5.6,443014,3709.6,92.60186824,669.12,0.4,1.24,1.5
1996-06,7136.032109,8004.689,7.1,1467,75.08,82.69,3.6,2.9,92.4,2.03,1.85,165.2,2.672467371,119769,5.3,446423,3722.5,92.87582953,670.63,0.54,1.42,1.64
1996-07,7150.332775,7983.834,6.7,1472,75.31,82.49,-0.3,3,94.7,2.12,1.88,165.5,2.731222843,120015,5.5,449831,3737.2,92.62138647,639.95,0.45,1.24,1.47
1996-08,7171.84832,8004.249,6.6,1557,75.691,82.44,1.6,3.1,95.3,1.99,1.73,165.8,2.599009901,120199,5.1,450911,3744.1,91.9626233,651.99,0.45,1.17,1.42
1996-09,7179.027347,8023.142,6.7,1475,76.359,82.71,1.1,3.2,94.7,2.21,1.9,166.4,2.652683529,120410,5.2,451954,3753.5,92.39162734,687.33,0.53,1.3,1.53
1996-10,7200.629235,8022.593,6.4,1392,76.226,82.1,0.5,3,96.5,2.26,1.9,167,2.57985258,120665,5.2,452496,3770.9,92.73453212,705.27,0.31,1.03,1.29
1996-11,7215.059353,8044.54,6.4,1489,76.884,82.33,3,3,99.2,2.44,1.96,167.2,2.576687117,120961,5.4,457010,3790,92.24230284,757.02,0.11,0.66,0.89
1996-12,7244.035495,8071.993,6.4,1370,77.552,82.57,5.2,3,96.9,2.36,1.86,167,2.642901045,121143,5.4,464955,3810.4,93.06325066,740.74,0.18,0.78,1.01
1997-01,7280.437684,8095.101,6.2,1355,77.598,82.14,3.8,3,97.4,2.27,1.85,167.5,2.509179927,121363,5.3,462505,3824.6,93.85560494,786.16,0.36,1.08,1.33
1997-02,7295.027739,8117.655,6.2,1486,78.695,82.81,3.1,3,99.7,2.32,1.93,168.3,2.496954933,121675,5.2,459914,3836.3,95.45638614,790.82,0.34,1.01,1.23
1997-03,7316.978675,8156.245,6.4,1457,79.523,83.18,3.8,2.8,100,2.12,1.94,169,2.486355367,121990,5.2,462300,3851.2,96.18817564,757.12,0.41,1.15,1.3
1997-04,7316.978675,8162.355,6.5,1492,79.366,82.51,3.7,3,101.4,1.92,2,169.4,2.666666667,122286,5.1,465478,3867.2,96.60894507,801.34,0.48,1.25,1.38
1997-05,7324.302978,8198.193,6.8,1442,79.962,82.61,6.1,2.9,103.2,1.69,1.9,169.3,2.54391278,122546,4.9,467038,3879.1,95.44950464,848.28,0.37,1.07,1.21
1997-06,7361.108521,8224.458,6.6,1494,80.469,82.59,4.9,2.8,104.5,1.83,1.97,169.2,2.421307506,122814,5,469816,3895.8,94.98636326,885.14,0.13,0.82,0.93
1997-07,7427.960162,8255.625,6.1,1437,81,82.59,7.7,2.7,107.1,1.67,1.85,169.5,2.416918429,123111,4.9,473111,3913.8,95.76012719,954.31,0.02,0.6,0.7
1997-08,7472.796944,8298.468,6,1390,82.062,83.09,6.3,2.7,104.4,1.66,1.72,169.6,2.291917973,123093,4.8,474323,3947.3,97.33244707,899.47,0.02,0.62,0.76
1997-09,7472.796944,8320.175,6.2,1546,82.765,83.21,3.9,2.8,106,1.61,1.62,170,2.163461538,123585,4.9,475441,3963,97.62272926,947.28,-0.02,0.57,0.67
1997-10,7510.348687,8361.37,6.2,1520,83.475,83.31,6.4,2.8,105.6,1.44,1.53,170.8,2.275449102,123929,4.7,477667,3982.1,98.05240548,914.62,-0.04,0.43,0.53
1997-11,7540.51073,8415.387,6.4,1510,84.423,83.63,5.7,2.9,107.2,1.26,1.43,170.8,2.153110048,124235,4.6,484618,4004.6,99.61090223,955.4,-0.06,0.28,0.36
1997-12,7586.026892,8463.884,6.4,1566,84.785,83.35,4.5,2.8,102.1,1.13,1.45,170.7,2.215568862,124549,4.7,493078,4022.8,103.0277354,970.43,0.03,0.27,0.31
1998-01,7578.448443,8538.251,7.4,1525,85.547,83.47,3.8,2.3,106.6,1.04,1.5,171.2,2.208955224,124812,4.6,491235,4046.1,105.598451,980.28,-0.32,-0.14,-0.02
1998-02,7624.193605,8592.24,7.4,1584,85.619,82.91,2.9,2.4,110.4,0.78,1.38,172.1,2.257872846,125016,4.6,488420,4078.8,103.9958892,1049.34,-0.2,-0.02,0.06
1998-03,7654.812856,8641.527,7.5,1567,85.465,82.14,2.9,2.5,106.5,0.69,1.24,172.6,2.130177515,125164,4.7,491007,4104.3,103.471199,1101.75,-0.1,0.12,0.16
1998-04,7693.279253,8668.76,7.2,1540,85.871,81.93,2.2,2.4,108.7,0.72,1.23,173,2.12514758,125442,4.3,494118,4130.1,103.2731913,1111.75,-0.07,0.16,0.19
1998-05,7747.511835,8704.139,6.9,1536,86.321,81.77,0.9,2.6,106.5,0.9,1.26,173.1,2.244536326,125844,4.4,495231,4154,103.9922035,1090.82,-0.05,0.14,0.16
1998-06,7802.126723,8753.506,6.8,1641,85.611,80.53,-1.1,2.7,105.6,0.69,0.98,173,2.245862884,126076,4.5,498108,4173.8,105.9571798,1133.84,-0.15,-0.04,-0.06
1998-07,7809.936659,8768.969,6.9,1698,85.214,79.64,-0.8,2.6,105.2,0.88,1.2,173.3,2.241887906,126205,4.5,502446,4193.5,106.2986128,1120.67,-0.18,-0.08,-0.08
1998-08,7849.182572,8797.329,6.8,1614,87.382,81.16,-0.7,2.4,104.4,0.93,1.43,173.8,2.476415094,126544,4.5,504866,4218.5,108.1173911,957.28,-0.34,-0.28,-0.21
1998-09,7904.514171,8823.3,6.4,1582,87.229,80.54,-1.3,2.3,100.9,0.63,1.21,174.2,2.470588235,126752,4.6,508591,4257.4,106.5233582,1017.01,-0.8,-0.89,-0.7
1998-10,7928.299068,8836.083,6.2,1715,88.089,80.87,-1.3,2.5,97.4,0.72,1.25,174.7,2.283372365,126954,4.5,512552,4297.5,103.7698793,1098.67,-0.95,-0.89,-0.54
1998-11,7952.155535,8872.582,6.3,1660,88.21,80.53,-1.8,2.3,102.7,0.72,1.24,174.8,2.341920375,127231,4.4,518349,4336.1,103.5376808,1163.63,-0.3,-0.29,0
1998-12,8016.285822,8889.862,5.8,1792,88.735,80.57,-3.2,2.5,100.5,0.84,1.35,174.8,2.401874634,127596,4.4,526435,4365,102.8242506,1229.23,-0.16,-0.23,-0.03
1999-01,8008.277544,8923.374,6.4,1748,89.022,80.41,0.6,2.7,103.9,0.98,1.39,175.3,2.394859813,127702,4.3,527870,4392.4,102.8576093,1279.64,-0.12,-0.03,0.09
1999-02,8048.520145,8953.235,6.2,1670,89.809,80.7,1.7,2.5,108.1,1.01,1.31,175.7,2.091807089,128120,4.4,526387,4415.2,103.9965164,1238.33,-0.06,0.15,0.24
1999-03,8080.843519,8962.339,5.9,1710,89.726,80.22,2.4,2.7,105.7,1.07,1.23,176.2,2.085747393,128227,4.2,531013,4422,105.0236214,1286.37,-0.03,0.33,0.42
1999-04,8129.621246,8944.943,5.2,1553,90.119,80.19,2.3,2.7,104.6,1.41,1.28,176.8,2.196531792,128597,4.3,535171,4450.6,104.7883043,1335.18,-0.05,0.34,0.44
1999-05,8162.270328,8962.013,4.9,1611,90.923,80.52,4.3,2.8,106.8,1.32,1.26,176.6,2.021952629,128808,4.2,540620,4474.9,104.449079,1301.84,0.11,0.7,0.8
1999-06,8195.05053,8992.45,4.8,1559,90.634,79.9,5.8,2.5,107.3,1.43,1.44,176.6,2.080924855,129089,4.3,544016,4496.7,104.9816434,1372.71,0.34,1.05,1.14
1999-07,8211.473477,9002.605,4.8,1669,91.101,79.94,3.6,2.7,106,1.45,1.33,176.9,2.077322562,129414,4.3,548817,4523.9,105.3091849,1328.72,0.04,0.69,0.8
1999-08,8252.737163,9043.049,4.7,1648,91.561,79.98,4.8,2.8,104.5,1.49,1.17,177.1,1.898734177,129569,4.2,551361,4541.2,104.265498,1320.41,0.13,0.77,0.87
1999-09,8294.208204,9037.422,4.2,1635,91.133,79.25,7,2.7,107.2,1.9,1.45,177.7,2.009184845,129772,4.2,556828,4557.2,103.750879,1282.71,0.03,0.58,0.7
1999-10,8310.829863,9094.716,4.6,1608,92.57,80.14,7.2,2.9,103.2,1.84,1.41,178.3,2.060675444,130177,4.1,564665,4580.9,103.3236415,1362.93,0.23,0.83,0.91
1999-11,8352.592827,9160.279,4.8,1648,93.139,80.27,8.1,2.9,107.2,1.92,1.49,178.4,2.059496568,130466,4.1,582758,4599.9,103.5942336,1388.91,0.13,0.55,0.61
1999-12,8462.606715,9234.746,4.4,1708,93.792,80.47,7.8,3,105.4,2.07,1.45,178.2,1.945080092,130772,4,612499,4627.4,103.7115909,1469.25,0.54,0.89,0.98
2000-01,8437.29483,9307.134,5.4,1636,93.936,80.24,6.7,3,112,2.17,1.52,178.8,1.996577296,131005,4,601868,4655.7,103.5714407,1394.46,0.67,1.13,1.21
2000-02,8522.520031,9342.634,4.8,1737,94.186,80.1,5.8,2.9,111.3,2.52,1.67,179.5,2.162777462,131124,4.1,578030,4669,104.98232,1366.42,0.49,0.95,0.79
2000-03,8573.963813,9366.526,4.5,1604,94.785,80.26,4.9,3.2,107.1,2.88,1.84,180.5,2.440408627,131596,4,577105,4699.8,105.4709746,1498.58,0.37,0.65,0.41
2000-04,8565.398415,9409.754,5,1626,95.51,80.53,4.7,3.2,109.2,2.31,1.66,180.9,2.319004525,131888,3.8,578588,4755.6,106.0938106,1452.43,0.13,0.24,-0.03
2000-05,8608.440618,9446.441,4.9,1575,95.441,80.13,3.2,3,110.7,2.33,1.67,180.9,2.434881087,132105,4,580556,4743.1,108.4935535,1420.6,0.06,0.42,0.17
2000-06,8625.692002,9469.62,4.9,1559,95.626,79.94,1.4,2.9,106.4,2.64,1.69,181,2.491506229,132061,4,581960,4760.9,107.5572358,1454.6,-0.36,-0.23,-0.43
2000-07,8634.326328,9516.638,5.2,1463,95.741,79.7,2.5,3,108.3,2.62,1.73,181.3,2.48728095,132236,4,584222,4778.4,107.7031814,1430.83,-0.46,-0.36,-0.49
2000-08,8677.714903,9568.549,5.2,1541,95.119,78.85,-0.1,2.7,107.3,2.42,1.81,181.7,2.597402597,132230,4.1,583423,4806.6,108.2314537,1517.68,-0.32,-0.44,-0.67
2000-09,8747.696475,9569.763,4.5,1507,95.566,78.9,-0.3,2.9,106.8,2.5,1.8,182.3,2.588632527,132353,3.9,583752,4842.2,109.8129496,1436.51,-0.39,-0.59,-0.72
2000-10,8738.957517,9582.905,4.6,1549,95.343,78.39,-1.3,3.2,105.8,2.49,1.79,182.8,2.523836231,132351,3.9,585252,4858.2,111.3757596,1429.4,-0.5,-0.73,-0.77
2000-11,8747.705222,9579.009,4.5,1551,95.102,77.88,-1.5,2.9,107.6,2.53,1.86,183,2.578475336,132556,3.9,590277,4869,112.0276965,1314.95,-0.42,-0.81,-0.79
2000-12,8791.66354,9595.305,4.2,1532,94.585,77.16,-6.1,2.8,98.4,2.42,1.79,182.8,2.581369248,132709,3.9,598305,4913.7,110.9689137,1320.28,-0.8,-1.23,-1.16
2020-01,8791.66354,9651.934,4.8,1600,94.039,76.42,-7.7,3,94.7,2.59,1.87,183.5,2.628635347,132698,4.2,598666,4964.3,111.3359262,1366.01,-1.17,-1.12,-0.82
2020-02,8800.464004,9668.6,4.9,1625,93.537,75.73,-7.9,2.8,90.6,2.4,1.87,184.4,2.729805014,132789,4.2,595873,5002.6,112.2155267,1239.94,-0.81,-0.6,-0.39
2020-03,8791.672332,9697.239,5.3,1590,93.377,75.33,-6.9,2.8,91.5,1.97,1.77,185.3,2.659279778,132747,4.3,599106,5060.4,113.8417074,1160.33,-1.01,-0.67,-0.42
2020-04,8791.672332,9670.775,5,1649,93.036,74.8,-7.3,3.1,88.4,2.25,1.89,185.6,2.598120509,132463,4.4,601727,5124.4,114.3486411,1249.46,-0.82,-0.04,0.34
2020-05,8826.980253,9648.128,4.5,1605,92.37,74.03,-8.7,3.2,92,2.45,1.82,185.5,2.542841349,132410,4.3,605919,5121.1,114.3015947,1255.82,-0.43,0.72,1.18
2020-06,8826.980253,9648.356,4.5,1636,91.737,73.32,-6.8,3,92.6,2.3,1.99,185.9,2.70718232,132299,4.5,609096,5161.3,115.0895966,1224.38,-0.39,0.84,1.31
2020-07,8844.669592,9790.666,5.6,1670,91.238,72.73,-6.5,2.6,92.4,2.02,2.03,186.2,2.702702703,132177,4.6,615984,5191.3,115.2586103,1211.23,-0.15,0.99,1.47
2020-08,8889.115168,9958.873,6.8,1567,90.861,72.25,-3.7,2.7,91.5,2.03,1.96,186.6,2.696752889,132028,4.9,622427,5225.2,113.2924933,1133.58,-0.18,0.92,1.32
2020-09,8801.104127,9886.164,7,1562,90.664,71.94,-3.8,2.8,81.8,1.25,1.15,187.1,2.63302249,131771,5,647223,5336.3,113.985708,1040.94,-0.25,1.05,1.66
2020-10,9017.52472,9732.337,3.4,1540,90.133,71.38,-9.2,1,82.7,1.48,1.73,187.6,2.625820569,131454,5.3,635154,5324.9,114.3289286,1059.78,-0.16,1.42,2.08
2020-11,8972.661413,9754.313,4.1,1602,89.931,71.09,-5.9,0.4,83.9,1.29,1.77,188.1,2.786885246,131142,5.5,639465,5368.5,114.8713311,1139.45,0.09,1.88,2.56
2020-12,8954.751909,9774.424,4.5,1568,90.165,71.16,-4.7,1.8,88.8,1.05,1.72,187.8,2.735229759,130982,5.7,650775,5421.6,114.7250423,1148.08,0.4,2.57,3.27
2020-01,8981.697,9968.366,6.1,1698,90.731,71.51,-2.5,1.9,93,0.67,1.42,188.2,2.561307902,130852,5.7,653760,5442,115.9527213,1130.2,0.43,2.61,3.31
2020-02,9021.984,9976.416,5.8,1829,90.731,71.42,0.7,2.1,90.7,0.7,1.45,189.2,2.603036876,130736,5.7,654639,5471.4,116.6027671,1106.73,0.49,2.56,3.17
2020-03,9020.608,9975.894,5.9,1642,91.518,71.97,2.4,2.7,95.7,0.97,1.48,189.8,2.428494334,130717,5.7,658956,5483.4,115.9447311,1147.39,0.84,3.01,3.55
2020-04,9066.332,10011.343,5.8,1592,91.751,72.09,2.4,2.8,93,1.22,1.61,190.3,2.532327586,130623,5.9,663401,5483.5,115.6929747,1076.92,0.73,2.9,3.46
2020-05,9031.84,10044.79,6.5,1764,92.259,72.44,3.1,2.7,96.9,1.03,1.7,190.2,2.533692722,130634,5.8,668606,5509.4,114.2173844,1067.14,0.6,2.74,3.41
2020-06,9064.874,10066.988,6.4,1717,93.353,73.25,3.6,2.7,92.4,0.97,1.63,190.1,2.259279182,130684,5.8,673966,5534.3,112.7649237,989.82,0.45,2.44,3.18
2020-07,9123.553,10034.986,5.5,1655,93.004,72.95,0.2,2.6,88.1,1.2,1.55,190.3,2.201933405,130590,5.8,679310,5576.9,111.0950975,911.62,0.23,2.08,2.92
2020-08,9132.692,10028.944,5.4,1633,93.233,73.1,0.3,2.6,87.6,1.4,1.68,191,2.357984995,130587,5.7,679765,5619.4,112.4889171,916.07,0.02,1.55,2.52
2020-09,9103.603,10032.933,5.7,1804,93.364,73.18,0.5,2.5,86.1,1.92,2.42,191.3,2.244788883,130501,5.7,680397,5643.7,113.3620397,815.28,-0.03,1.19,2.12
2020-10,9135.588,10060.665,5.7,1648,93.026,72.89,-1,2.5,80.6,1.74,1.78,191.8,2.23880597,130628,5.7,681855,5688.3,114.111027,885.76,-0.1,1.2,2.19
2020-11,9162.102,10090.593,5.7,1753,93.489,73.24,-1.5,2.4,84.2,1.9,1.67,191.8,1.967038809,130615,5.9,688494,5738.4,112.8411548,936.31,0.15,1.71,2.71
2020-12,9219.393,10124.379,5.5,1788,92.918,72.78,1.6,2.5,86.7,2.1,1.73,191.4,1.916932907,130472,6,699216,5759.7,112.2060233,879.82,0.21,1.79,2.79
2020-01,9219.078,10124.613,5.5,1853,93.642,73.34,1.3,2.5,82.4,2.3,1.73,191.8,1.912858661,130580,5.8,699262,5792.3,110.8887972,855.7,0.12,1.81,2.81
2020-02,9186.26,10098.269,5.6,1629,93.558,73.27,-1.2,2.7,79.9,2.53,1.65,192.5,1.744186047,130444,5.9,700958,5828.5,110.9888967,841.15,0.04,1.64,2.64
2020-03,9241.165,10123.987,5.3,1726,93.715,73.39,-3.7,3.1,77.6,2.49,1.65,193,1.685985248,130232,5.9,705269,5849.3,110.3984765,848.18,-0.01,1.53,2.56
2020-04,9287.217,10176.971,5.3,1643,92.957,72.8,-3.9,2.4,86,1.84,1.43,193.1,1.471361009,130177,6,709552,5886.5,109.141582,916.92,0.01,1.67,2.7
2020-05,9308.479,10254.725,5.8,1751,93.061,72.88,-1,2,92.1,1.63,1.43,193.2,1.577287066,130196,6.1,713711,5946.6,105.2163515,963.59,-0.08,1.26,2.31
2020-06,9361.285,10285.027,5.6,1867,93.541,73.26,-1,2.1,89.7,1.6,1.32,193,1.525512888,130194,6.3,714979,5983.3,104.6279299,974.5,-0.21,1.05,2.11
2020-07,9407.289,10408.684,6.3,1897,93.828,73.5,1,1.7,90.9,1.69,1.38,193.2,1.523909616,130191,6.2,717614,6030,106.033046,993.32,0.11,1.86,2.97
2020-08,9493.622,10476.803,6,1833,93.548,73.29,3.2,2.5,89.3,1.83,1.29,193.5,1.308900524,130149,6.1,720922,6088.2,107.5542428,1008.01,0.28,2.34,3.42
2020-09,9466.15,10350.604,5.2,1939,94.312,73.91,2.4,2.8,87.7,1.95,1.25,193.6,1.202300052,130254,6.1,721062,6060.1,106.4236263,995.97,0.23,2.17,3.26
2020-10,9479.77,10390.581,5.3,1967,94.403,74,5.2,2.6,89.6,1.75,1.32,194.3,1.303441084,130454,6,724756,6050.9,103.97869,1050.71,0.24,2.18,3.28
2020-11,9533.112,10456.517,5.4,2083,95.383,74.79,8.4,2.7,93.7,1.78,1.36,193.9,1.094890511,130474,5.8,730637,6056.1,103.5533937,1058.2,0.34,2.29,3.3
2020-12,9546.524,10470.911,5.4,2057,95.173,74.65,10.1,2.6,92.6,1.93,1.41,193.6,1.149425287,130588,5.7,739408,6054.2,102.1021331,1111.92,0.33,2.29,3.29
2020-01,9576.484,10460.956,5,1911,95.2,74.7,10.8,2.7,103.8,2.08,1.67,194,1.147028154,130769,5.7,736438,6062.7,100.4534664,1131.13,0.24,2.12,3.15
2020-02,9592.849,10479.211,5,1846,95.902,75.28,9.9,2.6,94.4,1.91,1.75,194.9,1.246753247,130825,5.6,735287,6101.6,101.1056153,1144.94,0.23,2.06,3.07
2020-03,9644.188,10522.12,4.9,1998,95.736,75.18,10.6,2.9,95.8,1.85,1.8,196.1,1.606217617,131142,5.8,736780,6137.4,102.1284175,1126.21,0.19,1.79,2.83
2020-04,9641.678,10566.156,5.3,2003,96.112,75.5,10.6,3.2,94.2,2.24,1.99,196.5,1.760745728,131411,5.6,741207,6178.4,102.8820829,1107.3,0.43,2.39,3.35
2020-05,9698.999,10623.728,5.3,1981,96.875,76.12,11.4,3.3,90.2,2.71,2,196.5,1.708074534,131694,5.6,745039,6255,104.7302137,1120.68,0.78,2.85,3.72
2020-06,9652.114,10632.734,5.8,1828,96.09,75.52,10.5,3.3,95.6,2.91,2.13,196.6,1.865284974,131793,5.6,750697,6257.3,103.7373634,1140.84,1.09,2.9,3.7
2020-07,9727.397,10654.444,5.3,2002,96.964,76.2,9.9,3,96.7,2.72,2.01,196.6,1.759834369,131848,5.5,757304,6271,102.8787744,1101.72,0.84,2.43,3.24
2020-08,9762.546,10685.481,5.2,2024,97.405,76.54,8.5,2.8,95.9,2.44,1.96,196.8,1.705426357,131937,5.4,757181,6297.1,102.8424293,1104.24,0.59,2.04,2.85
2020-09,9823.463,10690.731,4.6,1905,97.45,76.54,7.4,2.8,94.2,2.34,2.03,197.4,1.962809917,132093,5.4,762233,6331.7,102.5700356,1114.58,0.51,1.75,2.52
2020-10,9844.412,10697.813,4.5,2072,98.556,77.36,6.3,3.1,91.7,2.79,2.08,198.2,2.007205353,132447,5.5,763876,6359.9,101.2178615,1130.2,0.47,1.59,2.34
2020-11,9860.786,10670.239,4.1,1782,98.5,77.24,6.2,2.8,92.8,3.06,2.16,198.1,2.166064982,132503,5.4,770493,6386.4,98.76819836,1173.82,0.57,1.6,2.26
2020-12,9927.051,11066.664,6.9,2042,99.249,77.74,7.2,3,97.1,2.87,2.15,197.8,2.169421488,132624,5.4,776279,6405,97.59219273,1211.92,0.51,1.44,2.07
2020-01,9901.191,10669.351,3.7,2144,99.999,78.22,6.8,2.9,95.5,2.57,2.21,198.4,2.268041237,132774,5.3,775222,6411.2,98.10780488,1181.27,0.58,1.43,1.94
2020-02,9942.847,10673.764,3.4,2207,100.905,78.81,5.5,2.9,94.1,2.61,2.19,199.5,2.36018471,133032,5.4,772882,6419.6,98.4441114,1203.6,0.53,1.27,1.67
2020-03,9961.106,10711.782,3.6,1864,100.395,78.27,5.2,3.2,92.6,2.74,2.24,200.7,2.345741968,133156,5.2,773481,6428.6,97.94194968,1180.59,0.67,1.54,1.87
2020-04,10023.046,10745.865,3.1,2061,100.764,78.41,2.2,3.3,87.7,2.82,2.08,200.9,2.239185751,133518,5.2,775537,6442.6,98.97111257,1156.85,0.53,1.21,1.55
2020-05,10016.122,10794.957,3.5,2025,101.064,78.48,0.8,3.2,86.9,2.54,2.14,200.8,2.188295165,133690,5.1,776356,6459.9,99.33582804,1191.5,0.33,0.85,1.14
2020-06,10104.13,10818.538,2.9,2068,101.254,78.46,2.4,3.2,96,2.3,2.04,200.6,2.034587996,133942,5,780669,6492.3,100.229185,1191.33,0.32,0.73,0.96
2020-07,10182.046,10821.342,2.2,2054,100.894,78.01,2.8,3,96.5,2.63,2.06,200.8,2.136317396,134296,5,782860,6523.9,100.9347827,1234.18,0.38,0.72,0.92
2020-08,10144.746,10835.12,2.7,2095,101.375,78.22,2.4,3.1,89.1,2.98,2.09,201,2.134146341,134498,4.9,782727,6556.6,100.041062,1220.33,0.37,0.62,0.76
